time,ping,upld,dwnld,temp,temp_max,temp_min,windspd,winddir,hmdt,clouds,rain,snow,prss
2017-11-30 20:44:26.950413,18.87601613998413,6200036.3741346905,7163076.9172893865,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:44:49.054587,20.673155784606934,7938367.547055948,10785423.113792649,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:45:00.835599,19.5348858833313,9496111.723425094,7260339.002762197,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:45:11.353259,21.580100059509277,9877787.732870974,5100360.103618568,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:45:22.101093,19.806981086730957,7211867.104974613,7883925.15939991,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:45:35.272380,19.78445053100586,7358816.544620642,5162349.390345323,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:45:48.901851,25.07007122039795,7896929.4174193675,5993907.087937102,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:46:02.541322,22.038936614990234,7428743.0854797335,6169403.24034443,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:46:15.746194,21.973907947540283,7998562.6462445855,7861352.092217458,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
2017-11-30 20:46:27.806757,19.73026990890503,7970785.239125352,8969211.966682917,0.0,0.0,0.0,5.1,220,95,90,{},{},1003
